events,JÚLIUS 19. SZERDA,JÚLIUS 20. CSÜTÖRTÖK,JÚLIUS 21. PÉNTEK,JÚLIUS 22. SZOMBAT
VEB 2023 NAGYSZÍNPAD ( AZ ÓVÁROS TÉREN ),,,,
20.30,SLIM PAUL TRIO ( FR ),NOBLE JACKS ( UK ),OPSA DEHËLI ( FR ),CQMD ( FR )
22.45,DAIANA LOU ( IT ),BARE JAMS ( UK ),CHARLES PASI ( FR ),SEAN KOCH ( ZA )
MOL NAGYON BALATON NAGYSZÍNPAD ( A HANGVILLA MELLETTI TÉREN ),,,,
21.30,SEAN KOCH ( ZA ),SLIM PAUL TRIO ( FR ),NOBLE JACKS ( UK ),CHARLES PASI ( FR )
23.30,CHE SUDAKA ( CO / RA / E ),THE HILLBILLY MOONSHINERS ( NL ),BARE JAMS ( UK ),TANGA ELEKTRA ( D )
CEMIX SZÍNPAD ( A FORTUNA UDVARBAN ),,,,
16.00,A FEW MISTAKES AGO,THE FLOW ACOUSTIC,LÉHÁRT MÍRA ÉS POLGÁR PATRIK,MAGÁCSKA
17.10,GÉEM,NANI ON THE RUN,BOROSTYÁN & VERONIKA,OSSO
18.20,NO RULES,HAJDU ERIK,SUN SYNDROME,FEED THE MOGUL
19.30,KUSTAN ADAM,BLECHKRAFT,QUACK,NO RULES
21.00,ROB HERON & THE TEA PAD O. ( UK ),FÉLIX RABIN ( FR ),MOONSHINERS ( P ),KEANAN EKSTEEN ( ZA )
23.00,KRAKÓW STREET BAND ( PL ),OPSA DEHËLI ( FR ),SEAN KOCH ( ZA ),NOBLE JACKS ( UK )
ALGIDA SZÍNPAD ( A KOSSUTH UTCA TETEJE ),,,,
16.00,PROMMER PATRIK,QUACK,FEED THE MOGUL,BOROSTYÁN & VERONIKA
17.10,RÉZELEJE FANFÁROSOK,RED ROOSTERS,BLECHKRAFT,SUN SYNDROME
18.20,TIBI AND THE OTTERS,LÉHÁRT MÍRA ÉS POLGÁR PATRIK,KAM,KUSTAN ADAM
19.30,THE FLOW ACOUSTIC,KAM,NANI ON THE RUN,HAJDU ERIK
